,gt,ocr,cer,wer,n_characters,n_words,report
226,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000020.txt,input/borrdisc_689809840/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000020.txt,0.022222222222222223,0.09340659340659341,1080,182,report-borrdisc_689809840-00000020-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
581,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000020.txt,input/borrdisc_689809840/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000020.txt,0.1712962962962963,0.2857142857142857,1080,182,report-borrdisc_689809840-00000020-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
219,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000021.txt,input/borrdisc_689809840/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000021.txt,0.011299435028248588,0.058823529411764705,1062,170,report-borrdisc_689809840-00000021-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
441,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000021.txt,input/borrdisc_689809840/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000021.txt,0.15630885122410546,0.2647058823529412,1062,170,report-borrdisc_689809840-00000021-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
465,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000020.txt,input/branchri_782940536/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000020.txt,0.03905091448344043,0.09169054441260745,2023,349,report-branchri_782940536-00000020-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
598,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000020.txt,input/branchri_782940536/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000020.txt,0.13445378151260504,0.2693409742120344,2023,349,report-branchri_782940536-00000020-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
249,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000021.txt,input/branchri_782940536/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000021.txt,0.04159824849480022,0.14596273291925466,1827,322,report-branchri_782940536-00000021-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
681,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000021.txt,input/branchri_782940536/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000021.txt,0.1592775041050903,0.32919254658385094,1827,322,report-branchri_782940536-00000021-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
419,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000022.txt,input/branchri_782940536/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000022.txt,0.036467236467236465,0.09933774834437085,1755,302,report-branchri_782940536-00000022-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
364,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000022.txt,input/branchri_782940536/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000022.txt,0.13903133903133902,0.25165562913907286,1755,302,report-branchri_782940536-00000022-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
332,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000023.txt,input/branchri_782940536/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000023.txt,0.028042624789680313,0.06129032258064516,1783,310,report-branchri_782940536-00000023-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
81,input/branchri_782940536/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000023.txt,input/branchri_782940536/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000023.txt,0.13740886146943354,0.27419354838709675,1783,310,report-branchri_782940536-00000023-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
652,input/briedefra_788606417/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000130.txt,input/briedefra_788606417/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000130.txt,0.00322234156820623,0.012779552715654952,1862,313,report-briedefra_788606417-00000130-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
